guid,Country,"Country info",Capital,"Capital info","Capital hint",Flag,"Flag similarity",Map,tags
etAIJgAn)8,Slovenia,,Ljubljana,,,"<img src=""ug-flag-slovenia.svg"" />",,"<img src=""ug-map-slovenia.png"" />","UG::Europe UG::European_Union UG::Sovereign_State"
db{up5I>x|,Spain,,Madrid,,,"<img src=""ug-flag-spain.png"" />",,"<img src=""ug-map-spain.png"" />","UG::Europe UG::European_Union UG::Sovereign_State"
q]au(Cz(^`,Sweden,,Stockholm,,,"<img src=""ug-flag-sweden.svg"" />",,"<img src=""ug-map-sweden.png"" />","UG::Europe UG::European_Union UG::Sovereign_State"
j^y9}r#a`i,Switzerland,,Bern,,,"<img src=""ug-flag-switzerland.svg"" />",,"<img src=""ug-map-switzerland.png"" />","UG::Europe UG::Sovereign_State"
h(8o@usM_h,Turkey,,Ankara,,,"<img src=""ug-flag-turkey.svg"" />",,"<img src=""ug-map-turkey.png"" />","UG::Asia UG::Middle_East UG::Sovereign_State"
fGeuUP`?$F,Ukraine,,Kiev,,,"<img src=""ug-flag-ukraine.svg"" />",,"<img src=""ug-map-ukraine.png"" />","UG::Europe UG::Sovereign_State"
kW{?TY+Qy@,"Vatican City",,"Vatican City",,,"<img src=""ug-flag-vatican_city.svg"" />",,"<img src=""ug-map-vatican_city.png"" />","UG::Europe UG::Sovereign_State"
aoo{E3^%kC,Armenia,,Yerevan,,,"<img src=""ug-flag-armenia.svg"" />",,"<img src=""ug-map-armenia.png"" />","UG::Europe UG::Sovereign_State"
iWJ];?5|N/,Cyprus,,Nicosia,,,"<img src=""ug-flag-cyprus.svg"" />",,"<img src=""ug-map-cyprus.png"" />","UG::Asia UG::European_Union UG::Middle_East UG::Sovereign_State"
gMdH0b17|`,Kazakhstan,,Astana,,,"<img src=""ug-flag-kazakhstan.svg"" />",,"<img src=""ug-map-kazakhstan.png"" />","UG::Asia UG::Sovereign_State"
hmmcO+mVAb,Egypt,,Cairo,,,"<img src=""ug-flag-egypt.svg"" />","Yemen (no emblem)","<img src=""ug-map-egypt.png"" />","UG::Africa UG::Middle_East UG::Sovereign_State"
~PH%PYbY:P,Algeria,,Algiers,,,"<img src=""ug-flag-algeria.svg"" />",,"<img src=""ug-map-algeria.png"" />","UG::Africa UG::Sovereign_State"
mZ-*)8}IxB,Angola,,Luanda,,,"<img src=""ug-flag-angola.svg"" />",,"<img src=""ug-map-angola.png"" />","UG::Africa UG::Sovereign_State"
ohN$h{pHf],Benin,,Porto-Novo,"While Porto-Novo is the official capital, Cotonou is the de facto seat of government.",,"<img src=""ug-flag-benin.svg"" />",,"<img src=""ug-map-benin.png"" />","UG::Africa UG::Sovereign_State"
s1Q[`L|V6P,Botswana,,Gaborone,,,"<img src=""ug-flag-botswana.svg"" />",,"<img src=""ug-map-botswana.png"" />","UG::Africa UG::Sovereign_State"
lwciw@?|$;,"Burkina Faso",,Ouagadougou,,,"<img src=""ug-flag-burkina_faso.svg"" />",,"<img src=""ug-map-burkina_faso.png"" />","UG::Africa UG::Sovereign_State"
hb):vKw1c>,Cameroon,,Yaoundé,,,"<img src=""ug-flag-cameroon.svg"" />","Senegal (green/yellow/red, green star)","<img src=""ug-map-cameroon.png"" />","UG::Africa UG::Sovereign_State"
9`VLOuNai,Burundi,,Bujumbura,,,"<img src=""ug-flag-burundi.svg"" />",,"<img src=""ug-map-burundi.png"" />","UG::Africa UG::Sovereign_State"
e*/VR.:h;F,"Cape Verde",,Praia,,,"<img src=""ug-flag-cape_verde.svg"" />",,"<img src=""ug-map-cape_verde.png"" />","UG::Africa UG::Sovereign_State"
eQ:9s?2zZU,"São Tomé and Príncipe",,"São Tomé",,,"<img src=""ug-flag-sao_tome_and_principe.svg"" />",,"<img src=""ug-map-sao_tome_and_principe.png"" />","UG::Africa UG::Sovereign_State"
t<Q!b5r0kq,"Central African Republic",,Bangui,,,"<img src=""ug-flag-central_african_republic.svg"" />",,"<img src=""ug-map-central_african_republic.png"" />","UG::Africa UG::Sovereign_State"
uZ8&OrOv.,Chad,,N'Djamena,,,"<img src=""ug-flag-chad.svg"" />","Romania (slightly lighter blue)","<img src=""ug-map-chad.png"" />","UG::Africa UG::Sovereign_State"
e|)V<AG59U,"Equatorial Guinea",,Malabo,,,"<img src=""ug-flag-equatorial_guinea.svg"" />",,"<img src=""ug-map-equatorial_guinea.png"" />","UG::Africa UG::Sovereign_State"
hyMNY#zi)J,Kenya,,Nairobi,,,"<img src=""ug-flag-kenya.svg"" />",,"<img src=""ug-map-kenya.png"" />","UG::Africa UG::Sovereign_State"
rHKHOF]51m,Comoros,,Moroni,,,"<img src=""ug-flag-comoros.svg"" />",,"<img src=""ug-map-comoros.png"" />","UG::Africa UG::Sovereign_State"
"h<B?Kff,?3","Ivory Coast (Côte d'Ivoire)",,Yamoussoukro,"While Yamoussoukro is the official capital, Abidjan is the de facto seat of government.",,"<img src=""ug-flag-ivory_coast.svg"" />","Ireland (orange and green flipped)","<img src=""ug-map-ivory_coast.png"" />","UG::Africa UG::Sovereign_State"
mc@<f(]Gv>,"Democratic Republic of the Congo","Formerly Zaire.",Kinshasa,,,"<img src=""ug-flag-democratic_republic_of_the_congo.svg"" />",,"<img src=""ug-map-democratic_republic_of_the_congo.png"" />","UG::Africa UG::Sovereign_State"
g@t>u&t7.H,Djibouti,,Djibouti,,,"<img src=""ug-flag-djibouti.svg"" />",,"<img src=""ug-map-djibouti.png"" />","UG::Africa UG::Sovereign_State"
gF*cjel^E`,Guinea-Bissau,,Bissau,,,"<img src=""ug-flag-guinea-bissau.svg"" />",,"<img src=""ug-map-guinea-bissau.png"" />","UG::Africa UG::Sovereign_State"
n[w!Z!QIms,Eritrea,,Asmara,,,"<img src=""ug-flag-eritrea.svg"" />",,"<img src=""ug-map-eritrea.png"" />","UG::Africa UG::Sovereign_State"
rJP|Fq%{S_,Ethiopia,,"Addis Ababa",,,"<img src=""ug-flag-ethiopia.svg"" />",,"<img src=""ug-map-ethiopia.png"" />","UG::Africa UG::Sovereign_State"
nu62w6<{gY,Gabon,,Libreville,,,"<img src=""ug-flag-gabon.svg"" />",,"<img src=""ug-map-gabon.png"" />","UG::Africa UG::Sovereign_State"
"dk~o,wVUe(","The Gambia",,Banjul,,,"<img src=""ug-flag-the_gambia.svg"" />",,"<img src=""ug-map-the_gambia.png"" />","UG::Africa UG::Sovereign_State"
m<X7X:v50H,Lesotho,,Maseru,,,"<img src=""ug-flag-lesotho.svg"" />",,"<img src=""ug-map-lesotho.png"" />","UG::Africa UG::Sovereign_State"
l4=~eHE=:*,Liberia,,Monrovia,,,"<img src=""ug-flag-liberia.svg"" />",,"<img src=""ug-map-liberia.png"" />","UG::Africa UG::Sovereign_State"
kIVVY9}bmG,Madagascar,,Antananarivo,,,"<img src=""ug-flag-madagascar.svg"" />",,"<img src=""ug-map-madagascar.png"" />","UG::Africa UG::Sovereign_State"
q[[qx>.3a5,Malawi,,Lilongwe,,,"<img src=""ug-flag-malawi.svg"" />",,"<img src=""ug-map-malawi.png"" />","UG::Africa UG::Sovereign_State"
btY}*E#+`],Mali,,Bamako,,,"<img src=""ug-flag-mali.svg"" />","Guinea (green and red flipped, slightly darker green)","<img src=""ug-map-mali.png"" />","UG::Africa UG::Sovereign_State"
h//ne3{*x9,Mauritania,,Nouakchot,,,"<img src=""ug-flag-mauritania.svg"" />",,"<img src=""ug-map-mauritania.png"" />","UG::Africa UG::Sovereign_State"
"qW/,kuWe+E",Mauritius,,"Port Louis",,,"<img src=""ug-flag-mauritius.svg"" />",,"<img src=""ug-map-mauritius.png"" />","UG::Africa UG::Sovereign_State"
"kUnRN]-;`,",Morocco,,Rabat,,,"<img src=""ug-flag-morocco.svg"" />",,"<img src=""ug-map-morocco.png"" />","UG::Africa UG::Sovereign_State"
tSLQg?yaPz,Mozambique,,Maputo,,,"<img src=""ug-flag-mozambique.svg"" />",,"<img src=""ug-map-mozambique.png"" />","UG::Africa UG::Sovereign_State"
kWOJ?~AG$#,Namibia,,Windhoek,,,"<img src=""ug-flag-namibia.svg"" />",,"<img src=""ug-map-namibia.png"" />","UG::Africa UG::Sovereign_State"
hO2eO)5onp,Niger,,Niamey,,,"<img src=""ug-flag-niger.svg"" />",,"<img src=""ug-map-niger.png"" />","UG::Africa UG::Sovereign_State"
q%cY_.1/yj,Nigeria,,Abuja,,,"<img src=""ug-flag-nigeria.svg"" />",,"<img src=""ug-map-nigeria.png"" />","UG::Africa UG::Sovereign_State"
"sJ)FW9UF,&","Republic of the Congo",,Brazzaville,,,"<img src=""ug-flag-republic_of_the_congo.svg"" />",,"<img src=""ug-map-republic_of_the_congo.png"" />","UG::Africa UG::Sovereign_State"
hpQkX6n$.*,Rwanda,,Kigali,,,"<img src=""ug-flag-rwanda.svg"" />",,"<img src=""ug-map-rwanda.png"" />","UG::Africa UG::Sovereign_State"
rt`v%xKZAN,Senegal,,Dakar,,,"<img src=""ug-flag-senegal.svg"" />","Cameroon (green/red/yellow, yellow&nbsp;star)","<img src=""ug-map-senegal.png"" />","UG::Africa UG::Sovereign_State"
f3)B2N]t)@,Seychelles,,Victoria,,,"<img src=""ug-flag-seychelles.svg"" />",,"<img src=""ug-map-seychelles.png"" />","UG::Africa UG::Sovereign_State"
sOb`>T?fSr,"Sierra Leone",,Freetown,,,"<img src=""ug-flag-sierra_leone.svg"" />","Galápagos Islands (slightly darker blue)","<img src=""ug-map-sierra_leone.png"" />","UG::Africa UG::Sovereign_State"
cu1g@NblAd,"South Africa",,Pretoria,"South Africa has no legally defined capital: the branches of government are split over three cities: Pretoria (executive), Cape Town (legislative) and Bloemfontein (judicial).",,"<img src=""ug-flag-south_africa.svg"" />",,"<img src=""ug-map-south_africa.png"" />","UG::Africa UG::Sovereign_State"
iv2`s6j8.F,Sudan,,Khartoum,,,"<img src=""ug-flag-sudan.svg"" />","Palestine (red arrow, green stripe)","<img src=""ug-map-sudan.png"" />","UG::Africa UG::Sovereign_State"
ce:l#d*BY_,Swaziland,,Mbabane,"While Mbabane is the official, executive capital, Lobamba is the traditional, spiritual and legislative capital.",,"<img src=""ug-flag-swaziland.svg"" />",,"<img src=""ug-map-swaziland.png"" />","UG::Africa UG::Sovereign_State"
nw=/_pNoq?,Tanzania,,Dodoma,"While Dodoma is the official capital, Dar es Salaam is the de facto seat of government.",,"<img src=""ug-flag-tanzania.svg"" />",,"<img src=""ug-map-tanzania.png"" />","UG::Africa UG::Sovereign_State"
rr3dJmql2q,Togo,,Lomé,,,"<img src=""ug-flag-togo.svg"" />",,"<img src=""ug-map-togo.png"" />","UG::Africa UG::Sovereign_State"
d_DiXa|fP%,Tunisia,,Tunis,,,"<img src=""ug-flag-tunisia.svg"" />",,"<img src=""ug-map-tunisia.png"" />","UG::Africa UG::Sovereign_State"
e4=DR/pxJO,Uganda,,Kampala,,,"<img src=""ug-flag-uganda.svg"" />",,"<img src=""ug-map-uganda.png"" />","UG::Africa UG::Sovereign_State"
a$T5KE(n!#,"Sahrawi Republic","Partially recognised state claimed by Morocco.","El Aaiún","While El Aaiún is the declared capital,&nbsp;Tifariti is the de facto seat of government.",,"<img src=""ug-flag-sahrawi_republic.svg"" />",,"<img src=""ug-map-sahrawi_republic.png"" />","UG::Africa UG::Sovereign_State"
d98-ll&5O!,Zambia,,Lusaka,,,"<img src=""ug-flag-zambia.svg"" />",,"<img src=""ug-map-zambia.png"" />","UG::Africa UG::Sovereign_State"
"py.},59SZz",Zimbabwe,,Harare,,,"<img src=""ug-flag-zimbabwe.svg"" />",,"<img src=""ug-map-zimbabwe.png"" />","UG::Africa UG::Sovereign_State"
cB]XeL7sC?,"Canary Islands","Autonomous community of Spain.","Santa Cruz and Las Palmas",,,"<img src=""ug-flag-canary_islands.svg"" />",,"<img src=""ug-map-canary_islands.png"" />",UG::Africa
keRnJo7r)C,Afghanistan,,Kabul,,,"<img src=""ug-flag-afghanistan.png"" />",,"<img src=""ug-map-afghanistan.png"" />","UG::Asia UG::Sovereign_State"
q5<Hr:l]lD,Bahrain,,Manama,,,"<img src=""ug-flag-bahrain.svg"" />","Qatar (wider, more serrated edges, purple/maroon)","<img src=""ug-map-bahrain.png"" />","UG::Asia UG::Middle_East UG::Sovereign_State"
jrw*QcSd7),Bangladesh,,Dhaka,,,"<img src=""ug-flag-bangladesh.svg"" />",,"<img src=""ug-map-bangladesh.png"" />","UG::Asia UG::Sovereign_State"
i?s-)M+3LC,Bhutan,,Thimphu,,,"<img src=""ug-flag-bhutan.svg"" />",,"<img src=""ug-map-bhutan.png"" />","UG::Asia UG::Sovereign_State"
q|wxe1INFn,Brunei,,"Bandar Seri Begawan",,,"<img src=""ug-flag-brunei.svg"" />",,"<img src=""ug-map-brunei.png"" />","UG::Asia UG::Southeast_Asia UG::Sovereign_State"
k.(}S1;!u+,China,,Beijing,,,"<img src=""ug-flag-china.svg"" />",,"<img src=""ug-map-china.png"" />","UG::Asia UG::Sovereign_State"
~`lJPp4XaN,Cambodia,,"Phnom Penh",,,"<img src=""ug-flag-cambodia.svg"" />",,"<img src=""ug-map-cambodia.png"" />","UG::Asia UG::Southeast_Asia UG::Sovereign_State"
q9FSnNXA%>,Indonesia,,Jakarta,,,"<img src=""ug-flag-indonesia.svg"" />","Monaco (slightly narrower) and Poland (colours flipped)","<img src=""ug-map-indonesia.png"" />","UG::Asia UG::Southeast_Asia UG::Sovereign_State"
obg]3w:]w`,India,,"New Delhi",,,"<img src=""ug-flag-india.svg"" />",,"<img src=""ug-map-india.png"" />","UG::Asia UG::Sovereign_State"
j1J!`:2g=S,"Hong Kong","Special Administrative Region of China.",,,,"<img src=""ug-flag-hong_kong.svg"" />",,"<img src=""ug-map-hong_kong.png"" />",UG::Asia
kN7ucSA]77,Iran,,Tehran,,,"<img src=""ug-flag-iran.svg"" />",,"<img src=""ug-map-iran.png"" />","UG::Asia UG::Middle_East UG::Sovereign_State"
gV:vI&!;j7,Israel,,Jerusalem,,,"<img src=""ug-flag-israel.svg"" />",,"<img src=""ug-map-israel.png"" />","UG::Asia UG::Middle_East UG::Sovereign_State"
h-e/pKcWcK,Iraq,,Baghdad,,,"<img src=""ug-flag-iraq.svg"" />",,"<img src=""ug-map-iraq.png"" />","UG::Asia UG::Middle_East UG::Sovereign_State"
fBIl?(O;GK,"South Korea",,Seoul,,,"<img src=""ug-flag-south_korea.svg"" />",,"<img src=""ug-map-south_korea.png"" />","UG::Asia UG::Sovereign_State"
pf9?iCrnq3,"North Korea",,Pyongyang,,,"<img src=""ug-flag-north_korea.svg"" />",,"<img src=""ug-map-north_korea.png"" />","UG::Asia UG::Sovereign_State"
gpAm`b+<@$,Jordan,,Amman,,,"<img src=""ug-flag-jordan.svg"" />","Palestine (no star, shorter arrow)","<img src=""ug-map-jordan.png"" />","UG::Asia UG::Middle_East UG::Sovereign_State"
jKz8&brS?Q,Japan,,Tokyo,,,"<img src=""ug-flag-japan.svg"" />",,"<img src=""ug-map-japan.png"" />","UG::Asia UG::Sovereign_State"
k5Lsw~?CS<,Lebanon,,Beirut,,,"<img src=""ug-flag-lebanon.svg"" />",,"<img src=""ug-map-lebanon.png"" />","UG::Asia UG::Middle_East UG::Sovereign_State"
g`wTk)sEO;,Laos,,Vientiane,,,"<img src=""ug-flag-laos.svg"" />",,"<img src=""ug-map-laos.png"" />","UG::Asia UG::Southeast_Asia UG::Sovereign_State"
nWR|<-!<3D,Kyrgyzstan,,Bishkek,,,"<img src=""ug-flag-kyrgyzstan.svg"" />",,"<img src=""ug-map-kyrgyzstan.png"" />","UG::Asia UG::Sovereign_State"
c6[_RRw1RP,Kuwait,,"Kuwait City",,,"<img src=""ug-flag-kuwait.svg"" />",,"<img src=""ug-map-kuwait.png"" />","UG::Asia UG::Middle_East UG::Sovereign_State"
jqRl$9tc|=,Myanmar,"Also known as Burma.",Naypyidaw,,,"<img src=""ug-flag-myanmar.svg"" />",,"<img src=""ug-map-myanmar.png"" />","UG::Asia UG::Southeast_Asia UG::Sovereign_State"
bcKCjo|@FB,Mongolia,,Ulaanbaatar,,,"<img src=""ug-flag-mongolia.svg"" />",,"<img src=""ug-map-mongolia.png"" />","UG::Asia UG::Sovereign_State"
f{.=@!vp[F,Maldives,,Malé,,,"<img src=""ug-flag-maldives.svg"" />",,"<img src=""ug-map-maldives.png"" />","UG::Asia UG::Sovereign_State"
kW|_Dl/sH;,Malaysia,,"Kuala Lumpur",,,"<img src=""ug-flag-malaysia.svg"" />",,"<img src=""ug-map-malaysia.png"" />","UG::Asia UG::Southeast_Asia UG::Sovereign_State"
"c$,^My)7,o",Oman,,Muscat,,,"<img src=""ug-flag-oman.svg"" />",,"<img src=""ug-map-oman.png"" />","UG::Asia UG::Middle_East UG::Sovereign_State"
"jc,5d-!25%",Nepal,,Kathmandu,,,"<img src=""ug-flag-nepal.svg"" />",,"<img src=""ug-map-nepal.png"" />","UG::Asia UG::Sovereign_State"
eyzMdbI<py,Palestine,,Ramallah,,,"<img src=""ug-flag-palestine.svg"" />","Jordan (white star in arrow, longer arrow) and Sudan (green arrow, red stripe)","<img src=""ug-map-palestine.png"" />","UG::Asia UG::Middle_East UG::Sovereign_State"
g-=f.1BY3@,Pakistan,,Islamabad,,,"<img src=""ug-flag-pakistan.svg"" />",,"<img src=""ug-map-pakistan.png"" />","UG::Asia UG::Sovereign_State"
"kIW,oO0t&9",Qatar,,Doha,,,"<img src=""ug-flag-qatar.svg"" />","Bahrain (narrower, fewer serrated edges, red)","<img src=""ug-map-qatar.png"" />","UG::Asia UG::Middle_East UG::Sovereign_State"
"jZB|XiS`N,","Saudi Arabia",,Riyadh,,,"<img src=""ug-flag-saudi_arabia.svg"" />",,"<img src=""ug-map-saudi_arabia.png"" />","UG::Asia UG::Middle_East UG::Sovereign_State"
a:xcf2;d`h,Singapore,,Singapore,,,"<img src=""ug-flag-singapore.svg"" />",,"<img src=""ug-map-singapore.png"" />","UG::Asia UG::Southeast_Asia UG::Sovereign_State"
czq?(.f9rK,Syria,,Damascus,,,"<img src=""ug-flag-syria.svg"" />",,"<img src=""ug-map-syria.png"" />","UG::Asia UG::Middle_East UG::Sovereign_State"
kDeaNFo$(Q,Taiwan,"Partially recognised state claimed by China.",Taipei,,,"<img src=""ug-flag-taiwan.svg"" />",,"<img src=""ug-map-taiwan.png"" />","UG::Asia UG::Sovereign_State"
ei3G6ous#%,"Sri Lanka",,"Sri Jayawardenepura Kotte","Colombo is often referred to as the capital but Sri Jayawardenepura Kotte, a suburb of Colombo, is the official, legislative capital.",,"<img src=""ug-flag-sri_lanka.svg"" />",,"<img src=""ug-map-sri_lanka.png"" />","UG::Asia UG::Sovereign_State"
eLiW%Al2Is,Tajikistan,,Dushanbe,,,"<img src=""ug-flag-tajikistan.svg"" />",,"<img src=""ug-map-tajikistan.png"" />","UG::Asia UG::Sovereign_State"
f)aQmJp.B?,Thailand,,Bangkok,,,"<img src=""ug-flag-thailand.svg"" />","Costa Rica (blue and red&nbsp;inverted)","<img src=""ug-map-thailand.png"" />","UG::Asia UG::Southeast_Asia UG::Sovereign_State"
